chr.Base	chr	base	strand	coverage	freqC	freqT
scaffold1.33	scaffold1	33	F	10	0.00	100.00
scaffold1.109	scaffold1	109	F	6	0.00	100.00
scaffold1.143	scaffold1	143	F	16	0.00	100.00
scaffold1.244	scaffold1	244	F	3	0.00	100.00
scaffold1.265	scaffold1	265	F	9	0.00	100.00
scaffold1.566	scaffold1	566	F	6	0.00	100.00
scaffold1.576	scaffold1	576	F	5	0.00	100.00
scaffold1.579	scaffold1	579	F	6	16.67	83.33
scaffold1.582	scaffold1	582	F	5	80.00	20.00
scaffold1.591	scaffold1	591	F	6	0.00	100.00
scaffold1.622	scaffold1	622	F	4	0.00	100.00
scaffold1.641	scaffold1	641	F	6	50.00	50.00
scaffold1.731	scaffold1	731	F	3	0.00	100.00
scaffold1.799	scaffold1	799	F	3	0.00	100.00
scaffold1.845	scaffold1	845	F	3	0.00	100.00
scaffold1.850	scaffold1	850	F	4	0.00	100.00
scaffold1.1062	scaffold1	1062	F	4	0.00	100.00
scaffold1.1312	scaffold1	1312	F	9	0.00	100.00
scaffold1.1327	scaffold1	1327	F	4	0.00	100.00
scaffold1.1346	scaffold1	1346	F	4	0.00	100.00
scaffold1.1407	scaffold1	1407	F	4	0.00	100.00
scaffold1.1468	scaffold1	1468	F	3	0.00	100.00
scaffold1.1482	scaffold1	1482	F	5	0.00	100.00
scaffold1.1500	scaffold1	1500	F	5	0.00	100.00
scaffold1.1625	scaffold1	1625	F	3	0.00	100.00
scaffold1.1698	scaffold1	1698	F	5	0.00	100.00
scaffold1.1742	scaffold1	1742	F	18	5.56	94.44
scaffold1.1836	scaffold1	1836	F	4	0.00	100.00
scaffold1.1891	scaffold1	1891	F	8	0.00	100.00
scaffold1.1907	scaffold1	1907	F	12	0.00	100.00
scaffold1.1915	scaffold1	1915	F	4	0.00	100.00
scaffold1.2334	scaffold1	2334	F	6	66.67	33.33
scaffold1.2502	scaffold1	2502	F	6	0.00	100.00
scaffold1.2640	scaffold1	2640	F	6	0.00	100.00
scaffold1.2643	scaffold1	2643	F	9	0.00	100.00
scaffold1.2653	scaffold1	2653	F	11	0.00	100.00
scaffold1.2667	scaffold1	2667	F	16	0.00	100.00
scaffold1.2758	scaffold1	2758	F	4	0.00	100.00
scaffold1.2892	scaffold1	2892	F	3	0.00	100.00
scaffold1.3084	scaffold1	3084	F	6	0.00	100.00
scaffold1.3317	scaffold1	3317	F	3	100.00	0.00
scaffold1.3363	scaffold1	3363	F	3	0.00	100.00
scaffold1.3376	scaffold1	3376	F	3	0.00	100.00
scaffold1.3461	scaffold1	3461	F	6	50.00	50.00
scaffold1.3467	scaffold1	3467	F	3	0.00	100.00
scaffold1.3652	scaffold1	3652	F	6	0.00	100.00
scaffold1.3748	scaffold1	3748	F	4	25.00	75.00
scaffold10.48	scaffold10	48	F	23	0.00	100.00
scaffold10.89	scaffold10	89	F	23	4.35	95.65
scaffold10.124	scaffold10	124	F	21	0.00	100.00
scaffold10.187	scaffold10	187	F	8	0.00	100.00
