chr.Base	chr	base	strand	coverage	freqC	freqT
scaffold1.109	scaffold1	109	F	9	11.11	88.89
scaffold1.143	scaffold1	143	F	11	9.09	90.91
scaffold1.244	scaffold1	244	F	3	0.00	100.00
scaffold1.265	scaffold1	265	F	4	25.00	75.00
scaffold1.566	scaffold1	566	F	4	0.00	100.00
scaffold1.572	scaffold1	572	F	3	0.00	100.00
scaffold1.576	scaffold1	576	F	7	0.00	100.00
scaffold1.579	scaffold1	579	F	5	0.00	100.00
scaffold1.582	scaffold1	582	F	4	50.00	50.00
scaffold1.591	scaffold1	591	F	6	0.00	100.00
scaffold1.602	scaffold1	602	F	3	0.00	100.00
scaffold1.606	scaffold1	606	F	3	0.00	100.00
scaffold1.622	scaffold1	622	F	5	0.00	100.00
scaffold1.633	scaffold1	633	F	3	0.00	100.00
scaffold1.641	scaffold1	641	F	4	0.00	100.00
scaffold1.723	scaffold1	723	F	3	0.00	100.00
scaffold1.731	scaffold1	731	F	6	0.00	100.00
scaffold1.771	scaffold1	771	F	5	0.00	100.00
scaffold1.799	scaffold1	799	F	5	0.00	100.00
scaffold1.845	scaffold1	845	F	4	0.00	100.00
scaffold1.850	scaffold1	850	F	4	0.00	100.00
scaffold1.868	scaffold1	868	F	3	0.00	100.00
scaffold1.986	scaffold1	986	F	9	22.22	77.78
scaffold1.1110	scaffold1	1110	F	5	0.00	100.00
scaffold1.1172	scaffold1	1172	F	4	0.00	100.00
scaffold1.1193	scaffold1	1193	F	3	0.00	100.00
scaffold1.1201	scaffold1	1201	F	3	0.00	100.00
scaffold1.1312	scaffold1	1312	F	15	0.00	100.00
scaffold1.1327	scaffold1	1327	F	4	0.00	100.00
scaffold1.1346	scaffold1	1346	F	4	0.00	100.00
scaffold1.1407	scaffold1	1407	F	4	0.00	100.00
scaffold1.1482	scaffold1	1482	F	7	0.00	100.00
scaffold1.1500	scaffold1	1500	F	7	0.00	100.00
scaffold1.1595	scaffold1	1595	F	4	25.00	75.00
scaffold1.1625	scaffold1	1625	F	3	0.00	100.00
scaffold1.1684	scaffold1	1684	F	4	0.00	100.00
scaffold1.1698	scaffold1	1698	F	5	0.00	100.00
scaffold1.1742	scaffold1	1742	F	15	0.00	100.00
scaffold1.1836	scaffold1	1836	F	4	0.00	100.00
scaffold1.1907	scaffold1	1907	F	7	0.00	100.00
scaffold1.2216	scaffold1	2216	F	4	0.00	100.00
scaffold1.2334	scaffold1	2334	F	3	0.00	100.00
scaffold1.2502	scaffold1	2502	F	5	0.00	100.00
scaffold1.2512	scaffold1	2512	F	3	0.00	100.00
scaffold1.2618	scaffold1	2618	F	6	0.00	100.00
scaffold1.2640	scaffold1	2640	F	9	0.00	100.00
scaffold1.2643	scaffold1	2643	F	11	0.00	100.00
scaffold1.2653	scaffold1	2653	F	9	0.00	100.00
scaffold1.2667	scaffold1	2667	F	10	0.00	100.00
scaffold1.2892	scaffold1	2892	F	3	0.00	100.00
scaffold1.3010	scaffold1	3010	F	3	0.00	100.00
scaffold1.3084	scaffold1	3084	F	5	0.00	100.00
scaffold1.3134	scaffold1	3134	F	4	0.00	100.00
scaffold1.3162	scaffold1	3162	F	4	0.00	100.00
scaffold1.3317	scaffold1	3317	F	6	33.33	66.67
scaffold1.3326	scaffold1	3326	F	5	40.00	60.00
scaffold1.3363	scaffold1	3363	F	5	0.00	100.00
scaffold1.3376	scaffold1	3376	F	4	0.00	100.00
scaffold1.3394	scaffold1	3394	F	3	0.00	100.00
scaffold1.3461	scaffold1	3461	F	7	0.00	100.00
scaffold1.3652	scaffold1	3652	F	3	0.00	100.00
scaffold1.3748	scaffold1	3748	F	5	40.00	60.00
scaffold10.48	scaffold10	48	F	18	5.56	94.44
scaffold10.89	scaffold10	89	F	19	0.00	100.00
scaffold10.124	scaffold10	124	F	16	0.00	100.00
scaffold10.187	scaffold10	187	F	4	0.00	100.00
scaffold10.634	scaffold10	634	F	16	25.00	75.00
scaffold10.664	scaffold10	664	F	7	0.00	100.00
scaffold10.730	scaffold10	730	F	5	20.00	80.00
scaffold10.740	scaffold10	740	F	3	0.00	100.00
scaffold10.749	scaffold10	749	F	7	0.00	100.00
scaffold10.751	scaffold10	751	F	13	0.00	100.00
