chr.Base	chr	base	strand	coverage	freqC	freqT
scaffold1.33	scaffold1	33	F	7	0.00	100.00
scaffold1.109	scaffold1	109	F	4	0.00	100.00
scaffold1.143	scaffold1	143	F	10	10.00	90.00
scaffold1.244	scaffold1	244	F	6	0.00	100.00
scaffold1.265	scaffold1	265	F	7	14.29	85.71
scaffold1.566	scaffold1	566	F	7	0.00	100.00
scaffold1.576	scaffold1	576	F	6	0.00	100.00
scaffold1.579	scaffold1	579	F	7	14.29	85.71
scaffold1.582	scaffold1	582	F	7	42.86	57.14
scaffold1.591	scaffold1	591	F	5	0.00	100.00
scaffold1.602	scaffold1	602	F	7	0.00	100.00
scaffold1.606	scaffold1	606	F	5	0.00	100.00
scaffold1.622	scaffold1	622	F	6	0.00	100.00
scaffold1.633	scaffold1	633	F	7	14.29	85.71
scaffold1.641	scaffold1	641	F	3	0.00	100.00
scaffold1.799	scaffold1	799	F	6	0.00	100.00
scaffold1.845	scaffold1	845	F	7	0.00	100.00
scaffold1.850	scaffold1	850	F	3	0.00	100.00
scaffold1.986	scaffold1	986	F	3	33.33	66.67
scaffold1.1062	scaffold1	1062	F	5	0.00	100.00
scaffold1.1110	scaffold1	1110	F	3	0.00	100.00
scaffold1.1172	scaffold1	1172	F	6	0.00	100.00
scaffold1.1201	scaffold1	1201	F	3	33.33	66.67
scaffold1.1312	scaffold1	1312	F	15	0.00	100.00
scaffold1.1407	scaffold1	1407	F	4	0.00	100.00
scaffold1.1468	scaffold1	1468	F	3	0.00	100.00
scaffold1.1482	scaffold1	1482	F	8	0.00	100.00
scaffold1.1500	scaffold1	1500	F	13	0.00	100.00
scaffold1.1595	scaffold1	1595	F	5	20.00	80.00
scaffold1.1625	scaffold1	1625	F	7	0.00	100.00
scaffold1.1634	scaffold1	1634	F	3	0.00	100.00
scaffold1.1684	scaffold1	1684	F	11	0.00	100.00
scaffold1.1698	scaffold1	1698	F	18	5.56	94.44
scaffold1.1742	scaffold1	1742	F	29	0.00	100.00
scaffold1.1907	scaffold1	1907	F	7	0.00	100.00
scaffold1.2216	scaffold1	2216	F	3	0.00	100.00
scaffold1.2279	scaffold1	2279	F	10	0.00	100.00
scaffold1.2334	scaffold1	2334	F	4	75.00	25.00
scaffold1.2618	scaffold1	2618	F	3	0.00	100.00
scaffold1.2640	scaffold1	2640	F	7	14.29	85.71
scaffold1.2643	scaffold1	2643	F	7	0.00	100.00
scaffold1.2653	scaffold1	2653	F	11	0.00	100.00
scaffold1.2667	scaffold1	2667	F	15	0.00	100.00
scaffold1.2892	scaffold1	2892	F	3	0.00	100.00
scaffold1.3084	scaffold1	3084	F	4	0.00	100.00
scaffold1.3100	scaffold1	3100	F	3	0.00	100.00
scaffold1.3134	scaffold1	3134	F	4	0.00	100.00
scaffold1.3162	scaffold1	3162	F	5	0.00	100.00
scaffold1.3317	scaffold1	3317	F	8	37.50	62.50
scaffold1.3326	scaffold1	3326	F	5	0.00	100.00
scaffold1.3363	scaffold1	3363	F	4	0.00	100.00
scaffold1.3376	scaffold1	3376	F	3	0.00	100.00
scaffold1.3461	scaffold1	3461	F	4	0.00	100.00
scaffold1.3467	scaffold1	3467	F	3	0.00	100.00
scaffold1.3652	scaffold1	3652	F	7	57.14	42.86
scaffold1.3748	scaffold1	3748	F	11	0.00	100.00
scaffold10.48	scaffold10	48	F	31	0.00	100.00
scaffold10.89	scaffold10	89	F	10	0.00	100.00
scaffold10.124	scaffold10	124	F	22	4.55	95.45
scaffold10.187	scaffold10	187	F	4	0.00	100.00
scaffold10.634	scaffold10	634	F	9	22.22	77.78
