chr.Base	chr	base	strand	coverage	freqC	freqT
scaffold1.33	scaffold1	33	F	3	0.00	100.00
scaffold1.143	scaffold1	143	F	4	0.00	100.00
scaffold1.244	scaffold1	244	F	3	66.67	33.33
scaffold1.265	scaffold1	265	F	7	14.29	85.71
scaffold1.579	scaffold1	579	F	4	0.00	100.00
scaffold1.591	scaffold1	591	F	4	0.00	100.00
scaffold1.622	scaffold1	622	F	4	0.00	100.00
scaffold1.641	scaffold1	641	F	3	66.67	33.33
scaffold1.723	scaffold1	723	F	3	0.00	100.00
scaffold1.799	scaffold1	799	F	3	0.00	100.00
scaffold1.845	scaffold1	845	F	3	0.00	100.00
scaffold1.986	scaffold1	986	F	3	0.00	100.00
scaffold1.1062	scaffold1	1062	F	4	0.00	100.00
scaffold1.1110	scaffold1	1110	F	3	0.00	100.00
scaffold1.1312	scaffold1	1312	F	6	0.00	100.00
scaffold1.1327	scaffold1	1327	F	3	0.00	100.00
scaffold1.1482	scaffold1	1482	F	3	0.00	100.00
scaffold1.1625	scaffold1	1625	F	3	0.00	100.00
scaffold1.1634	scaffold1	1634	F	3	0.00	100.00
scaffold1.1684	scaffold1	1684	F	4	25.00	75.00
scaffold1.1698	scaffold1	1698	F	7	0.00	100.00
scaffold1.1742	scaffold1	1742	F	21	0.00	100.00
scaffold1.1907	scaffold1	1907	F	3	0.00	100.00
scaffold1.1915	scaffold1	1915	F	3	66.67	33.33
scaffold1.2279	scaffold1	2279	F	3	0.00	100.00
scaffold1.2643	scaffold1	2643	F	5	0.00	100.00
scaffold1.2653	scaffold1	2653	F	10	0.00	100.00
scaffold1.2667	scaffold1	2667	F	10	0.00	100.00
scaffold1.2758	scaffold1	2758	F	3	0.00	100.00
scaffold1.3084	scaffold1	3084	F	3	0.00	100.00
scaffold1.3134	scaffold1	3134	F	3	0.00	100.00
scaffold1.3317	scaffold1	3317	F	4	50.00	50.00
scaffold1.3461	scaffold1	3461	F	3	100.00	0.00
scaffold1.3652	scaffold1	3652	F	9	33.33	66.67
scaffold10.48	scaffold10	48	F	19	5.26	94.74
scaffold10.89	scaffold10	89	F	8	25.00	75.00
scaffold10.124	scaffold10	124	F	12	0.00	100.00
scaffold10.187	scaffold10	187	F	3	0.00	100.00
scaffold10.634	scaffold10	634	F	8	0.00	100.00
scaffold10.664	scaffold10	664	F	3	33.33	66.67
