chr.Base	chr	base	strand	coverage	freqC	freqT
scaffold1.33	scaffold1	33	F	8	0.00	100.00
scaffold1.109	scaffold1	109	F	5	0.00	100.00
scaffold1.143	scaffold1	143	F	5	0.00	100.00
scaffold1.244	scaffold1	244	F	6	33.33	66.67
scaffold1.265	scaffold1	265	F	6	0.00	100.00
scaffold1.566	scaffold1	566	F	3	0.00	100.00
scaffold1.572	scaffold1	572	F	3	0.00	100.00
scaffold1.576	scaffold1	576	F	4	0.00	100.00
scaffold1.579	scaffold1	579	F	5	0.00	100.00
scaffold1.591	scaffold1	591	F	3	0.00	100.00
scaffold1.602	scaffold1	602	F	3	0.00	100.00
scaffold1.622	scaffold1	622	F	7	0.00	100.00
scaffold1.633	scaffold1	633	F	3	0.00	100.00
scaffold1.641	scaffold1	641	F	6	33.33	66.67
scaffold1.723	scaffold1	723	F	5	0.00	100.00
scaffold1.731	scaffold1	731	F	5	0.00	100.00
scaffold1.771	scaffold1	771	F	5	0.00	100.00
scaffold1.799	scaffold1	799	F	4	0.00	100.00
scaffold1.845	scaffold1	845	F	3	0.00	100.00
scaffold1.868	scaffold1	868	F	7	0.00	100.00
scaffold1.986	scaffold1	986	F	4	0.00	100.00
scaffold1.1110	scaffold1	1110	F	3	0.00	100.00
scaffold1.1201	scaffold1	1201	F	3	0.00	100.00
scaffold1.1312	scaffold1	1312	F	13	0.00	100.00
scaffold1.1327	scaffold1	1327	F	4	0.00	100.00
scaffold1.1468	scaffold1	1468	F	3	33.33	66.67
scaffold1.1482	scaffold1	1482	F	7	0.00	100.00
scaffold1.1500	scaffold1	1500	F	18	0.00	100.00
scaffold1.1595	scaffold1	1595	F	3	33.33	66.67
scaffold1.1625	scaffold1	1625	F	4	0.00	100.00
scaffold1.1634	scaffold1	1634	F	6	0.00	100.00
scaffold1.1684	scaffold1	1684	F	9	11.11	88.89
scaffold1.1698	scaffold1	1698	F	14	0.00	100.00
scaffold1.1742	scaffold1	1742	F	24	4.17	95.83
scaffold1.1836	scaffold1	1836	F	5	20.00	80.00
scaffold1.1907	scaffold1	1907	F	7	0.00	100.00
scaffold1.2279	scaffold1	2279	F	5	0.00	100.00
scaffold1.2334	scaffold1	2334	F	4	50.00	50.00
scaffold1.2502	scaffold1	2502	F	3	0.00	100.00
scaffold1.2612	scaffold1	2612	F	3	0.00	100.00
scaffold1.2618	scaffold1	2618	F	3	0.00	100.00
scaffold1.2640	scaffold1	2640	F	5	20.00	80.00
scaffold1.2643	scaffold1	2643	F	5	20.00	80.00
scaffold1.2653	scaffold1	2653	F	9	0.00	100.00
scaffold1.2667	scaffold1	2667	F	11	0.00	100.00
scaffold1.2758	scaffold1	2758	F	5	0.00	100.00
scaffold1.3134	scaffold1	3134	F	3	0.00	100.00
scaffold1.3317	scaffold1	3317	F	6	83.33	16.67
scaffold1.3326	scaffold1	3326	F	3	0.00	100.00
scaffold1.3363	scaffold1	3363	F	5	0.00	100.00
scaffold1.3376	scaffold1	3376	F	3	0.00	100.00
scaffold1.3461	scaffold1	3461	F	10	60.00	40.00
scaffold1.3467	scaffold1	3467	F	4	25.00	75.00
scaffold1.3652	scaffold1	3652	F	7	14.29	85.71
scaffold1.3748	scaffold1	3748	F	5	0.00	100.00
scaffold10.48	scaffold10	48	F	14	0.00	100.00
scaffold10.89	scaffold10	89	F	7	0.00	100.00
scaffold10.124	scaffold10	124	F	10	0.00	100.00
scaffold10.187	scaffold10	187	F	6	16.67	83.33
scaffold10.634	scaffold10	634	F	7	28.57	71.43
scaffold10.664	scaffold10	664	F	7	0.00	100.00
scaffold10.730	scaffold10	730	F	4	0.00	100.00
scaffold10.749	scaffold10	749	F	12	0.00	100.00
scaffold10.751	scaffold10	751	F	7	0.00	100.00
scaffold10.780	scaffold10	780	F	18	5.56	94.44
scaffold10.830	scaffold10	830	F	22	0.00	100.00
scaffold10.917	scaffold10	917	F	20	0.00	100.00
scaffold10.920	scaffold10	920	F	31	0.00	100.00
scaffold10.982	scaffold10	982	F	18	11.11	88.89
scaffold10.1029	scaffold10	1029	F	11	0.00	100.00
scaffold10.1041	scaffold10	1041	F	4	0.00	100.00
scaffold10.1089	scaffold10	1089	F	4	0.00	100.00
scaffold10.1258	scaffold10	1258	F	12	83.33	16.67
scaffold10.1349	scaffold10	1349	F	7	0.00	100.00
scaffold10.1503	scaffold10	1503	F	10	20.00	80.00
scaffold10.1605	scaffold10	1605	F	8	0.00	100.00
scaffold10.1615	scaffold10	1615	F	4	0.00	100.00
scaffold10.1646	scaffold10	1646	F	3	0.00	100.00
scaffold10.1690	scaffold10	1690	F	5	0.00	100.00
scaffold10.1715	scaffold10	1715	F	4	50.00	50.00
scaffold10.2561	scaffold10	2561	F	6	0.00	100.00
scaffold100.189	scaffold100	189	F	3	33.33	66.67
scaffold100.213	scaffold100	213	F	3	33.33	66.67
scaffold100.229	scaffold100	229	F	4	75.00	25.00
scaffold100.277	scaffold100	277	F	10	10.00	90.00
scaffold100.312	scaffold100	312	F	5	0.00	100.00
scaffold100.324	scaffold100	324	F	10	0.00	100.00
scaffold100.393	scaffold100	393	F	5	0.00	100.00
scaffold100.438	scaffold100	438	F	4	0.00	100.00
scaffold100.682	scaffold100	682	F	5	0.00	100.00
scaffold100.1112	scaffold100	1112	F	10	50.00	50.00
scaffold100.1152	scaffold100	1152	F	9	0.00	100.00
scaffold100.1174	scaffold100	1174	F	8	0.00	100.00
scaffold100.1262	scaffold100	1262	F	3	0.00	100.00
scaffold100.1277	scaffold100	1277	F	5	0.00	100.00
scaffold100.1290	scaffold100	1290	F	6	16.67	83.33
scaffold100.1299	scaffold100	1299	F	4	0.00	100.00
scaffold100.2463	scaffold100	2463	F	6	0.00	100.00
scaffold100.2477	scaffold100	2477	F	7	0.00	100.00
scaffold100.2495	scaffold100	2495	F	6	0.00	100.00
scaffold100.2502	scaffold100	2502	F	6	0.00	100.00
scaffold100.2652	scaffold100	2652	F	3	0.00	100.00
scaffold100.2819	scaffold100	2819	F	3	0.00	100.00
scaffold100.2838	scaffold100	2838	F	3	0.00	100.00
scaffold100.4943	scaffold100	4943	F	5	0.00	100.00
scaffold100.6159	scaffold100	6159	F	3	33.33	66.67
scaffold100.6167	scaffold100	6167	F	4	0.00	100.00
scaffold100.6176	scaffold100	6176	F	5	0.00	100.00
scaffold100.6186	scaffold100	6186	F	5	0.00	100.00
scaffold100.6216	scaffold100	6216	F	4	0.00	100.00
scaffold100.6279	scaffold100	6279	F	5	0.00	100.00
scaffold100.6504	scaffold100	6504	F	3	0.00	100.00
scaffold100.6922	scaffold100	6922	F	4	0.00	100.00
scaffold100.7206	scaffold100	7206	F	3	0.00	100.00
scaffold100.7278	scaffold100	7278	F	3	0.00	100.00
scaffold1000.29	scaffold1000	29	F	9	0.00	100.00
scaffold1001.57	scaffold1001	57	F	13	23.08	76.92
scaffold1001.420	scaffold1001	420	F	16	0.00	100.00
