chr.Base	chr	base	strand	coverage	freqC	freqT
scaffold1.12	scaffold1	12	F	3	0.00	100.00
scaffold1.33	scaffold1	33	F	11	9.09	90.91
scaffold1.109	scaffold1	109	F	7	0.00	100.00
scaffold1.143	scaffold1	143	F	11	0.00	100.00
scaffold1.244	scaffold1	244	F	9	11.11	88.89
scaffold1.265	scaffold1	265	F	11	0.00	100.00
scaffold1.566	scaffold1	566	F	10	0.00	100.00
scaffold1.572	scaffold1	572	F	4	0.00	100.00
scaffold1.576	scaffold1	576	F	11	0.00	100.00
scaffold1.579	scaffold1	579	F	13	0.00	100.00
scaffold1.582	scaffold1	582	F	9	55.56	44.44
scaffold1.591	scaffold1	591	F	10	10.00	90.00
scaffold1.602	scaffold1	602	F	6	16.67	83.33
scaffold1.606	scaffold1	606	F	5	0.00	100.00
scaffold1.622	scaffold1	622	F	9	11.11	88.89
scaffold1.633	scaffold1	633	F	4	0.00	100.00
scaffold1.641	scaffold1	641	F	5	60.00	40.00
scaffold1.771	scaffold1	771	F	5	0.00	100.00
scaffold1.782	scaffold1	782	F	3	66.67	33.33
scaffold1.799	scaffold1	799	F	5	0.00	100.00
scaffold1.845	scaffold1	845	F	3	0.00	100.00
scaffold1.868	scaffold1	868	F	3	0.00	100.00
scaffold1.908	scaffold1	908	F	4	0.00	100.00
scaffold1.1062	scaffold1	1062	F	3	0.00	100.00
scaffold1.1110	scaffold1	1110	F	3	0.00	100.00
scaffold1.1201	scaffold1	1201	F	3	0.00	100.00
scaffold1.1312	scaffold1	1312	F	4	0.00	100.00
scaffold1.1327	scaffold1	1327	F	3	0.00	100.00
scaffold1.1346	scaffold1	1346	F	3	0.00	100.00
scaffold1.1407	scaffold1	1407	F	3	0.00	100.00
scaffold1.1468	scaffold1	1468	F	6	0.00	100.00
scaffold1.1482	scaffold1	1482	F	8	0.00	100.00
scaffold1.1500	scaffold1	1500	F	10	0.00	100.00
scaffold1.1561	scaffold1	1561	F	4	0.00	100.00
scaffold1.1595	scaffold1	1595	F	3	33.33	66.67
scaffold1.1625	scaffold1	1625	F	10	20.00	80.00
scaffold1.1684	scaffold1	1684	F	8	0.00	100.00
scaffold1.1698	scaffold1	1698	F	10	0.00	100.00
scaffold1.1742	scaffold1	1742	F	17	0.00	100.00
scaffold1.1836	scaffold1	1836	F	6	0.00	100.00
scaffold1.1907	scaffold1	1907	F	4	0.00	100.00
scaffold1.2279	scaffold1	2279	F	7	0.00	100.00
scaffold1.2334	scaffold1	2334	F	4	25.00	75.00
scaffold1.2405	scaffold1	2405	F	3	0.00	100.00
scaffold1.2502	scaffold1	2502	F	8	0.00	100.00
scaffold1.2535	scaffold1	2535	F	3	0.00	100.00
scaffold1.2582	scaffold1	2582	F	3	0.00	100.00
scaffold1.2612	scaffold1	2612	F	7	0.00	100.00
scaffold1.2618	scaffold1	2618	F	4	0.00	100.00
scaffold1.2640	scaffold1	2640	F	7	0.00	100.00
scaffold1.2643	scaffold1	2643	F	9	0.00	100.00
scaffold1.2653	scaffold1	2653	F	10	0.00	100.00
scaffold1.2667	scaffold1	2667	F	8	0.00	100.00
scaffold1.2758	scaffold1	2758	F	6	0.00	100.00
scaffold1.3134	scaffold1	3134	F	3	0.00	100.00
scaffold1.3194	scaffold1	3194	F	3	0.00	100.00
scaffold1.3376	scaffold1	3376	F	4	0.00	100.00
scaffold1.3461	scaffold1	3461	F	5	40.00	60.00
scaffold1.3652	scaffold1	3652	F	11	27.27	72.73
scaffold1.3748	scaffold1	3748	F	6	0.00	100.00
scaffold10.48	scaffold10	48	F	17	0.00	100.00
scaffold10.89	scaffold10	89	F	14	14.29	85.71
scaffold10.124	scaffold10	124	F	13	0.00	100.00
scaffold10.187	scaffold10	187	F	6	0.00	100.00
scaffold10.634	scaffold10	634	F	6	33.33	66.67
scaffold10.664	scaffold10	664	F	4	0.00	100.00
scaffold10.730	scaffold10	730	F	5	0.00	100.00
scaffold10.749	scaffold10	749	F	9	0.00	100.00
scaffold10.751	scaffold10	751	F	7	0.00	100.00
scaffold10.780	scaffold10	780	F	17	5.88	94.12
scaffold10.830	scaffold10	830	F	19	0.00	100.00
scaffold10.917	scaffold10	917	F	16	0.00	100.00
scaffold10.920	scaffold10	920	F	28	0.00	100.00
scaffold10.982	scaffold10	982	F	9	0.00	100.00
scaffold10.1029	scaffold10	1029	F	20	5.00	95.00
scaffold10.1041	scaffold10	1041	F	7	0.00	100.00
scaffold10.1052	scaffold10	1052	F	3	33.33	66.67
scaffold10.1258	scaffold10	1258	F	5	100.00	0.00
scaffold10.1349	scaffold10	1349	F	3	0.00	100.00
scaffold10.1503	scaffold10	1503	F	4	0.00	100.00
scaffold10.1605	scaffold10	1605	F	4	0.00	100.00
scaffold10.1615	scaffold10	1615	F	5	0.00	100.00
scaffold10.1646	scaffold10	1646	F	8	0.00	100.00
scaffold10.1690	scaffold10	1690	F	8	12.50	87.50
scaffold10.1715	scaffold10	1715	F	4	25.00	75.00
scaffold10.1960	scaffold10	1960	F	3	0.00	100.00
scaffold10.2561	scaffold10	2561	F	6	0.00	100.00
scaffold100.264	scaffold100	264	F	4	25.00	75.00
scaffold100.277	scaffold100	277	F	9	11.11	88.89
scaffold100.312	scaffold100	312	F	4	25.00	75.00
scaffold100.324	scaffold100	324	F	7	0.00	100.00
scaffold100.393	scaffold100	393	F	6	0.00	100.00
scaffold100.438	scaffold100	438	F	6	0.00	100.00
scaffold100.682	scaffold100	682	F	5	0.00	100.00
scaffold100.1112	scaffold100	1112	F	7	28.57	71.43
scaffold100.1152	scaffold100	1152	F	5	0.00	100.00
scaffold100.1174	scaffold100	1174	F	6	0.00	100.00
scaffold100.1262	scaffold100	1262	F	6	0.00	100.00
scaffold100.1277	scaffold100	1277	F	7	0.00	100.00
scaffold100.1290	scaffold100	1290	F	4	25.00	75.00
scaffold100.1299	scaffold100	1299	F	3	0.00	100.00
scaffold100.1432	scaffold100	1432	F	3	0.00	100.00
scaffold100.2702	scaffold100	2702	F	3	0.00	100.00
scaffold100.2838	scaffold100	2838	F	3	0.00	100.00
scaffold100.3015	scaffold100	3015	F	4	0.00	100.00
scaffold100.3048	scaffold100	3048	F	7	0.00	100.00
scaffold100.3063	scaffold100	3063	F	4	0.00	100.00
scaffold100.3087	scaffold100	3087	F	3	0.00	100.00
scaffold100.6101	scaffold100	6101	F	3	0.00	100.00
scaffold100.6159	scaffold100	6159	F	6	0.00	100.00
scaffold100.6167	scaffold100	6167	F	7	0.00	100.00
scaffold100.6176	scaffold100	6176	F	6	0.00	100.00
scaffold100.6186	scaffold100	6186	F	6	0.00	100.00
scaffold100.6279	scaffold100	6279	F	5	0.00	100.00
scaffold1000.29	scaffold1000	29	F	4	0.00	100.00
scaffold1000.488	scaffold1000	488	F	5	0.00	100.00
scaffold1001.57	scaffold1001	57	F	12	0.00	100.00
scaffold1001.420	scaffold1001	420	F	23	0.00	100.00
scaffold1001.888	scaffold1001	888	F	5	0.00	100.00
scaffold1001.1243	scaffold1001	1243	F	4	0.00	100.00
scaffold1001.1247	scaffold1001	1247	F	4	0.00	100.00
scaffold1001.1370	scaffold1001	1370	F	3	0.00	100.00
scaffold1002.25	scaffold1002	25	F	3	0.00	100.00
scaffold1002.37	scaffold1002	37	F	14	0.00	100.00
scaffold1002.53	scaffold1002	53	F	20	0.00	100.00
scaffold1002.57	scaffold1002	57	F	7	0.00	100.00
scaffold1002.79	scaffold1002	79	F	16	6.25	93.75
scaffold1002.104	scaffold1002	104	F	11	0.00	100.00
scaffold1002.140	scaffold1002	140	F	5	0.00	100.00
